instance	g	run	solution	time
crane316_11	5	5	5364841.00	99.88
crane316_11	5	6	5520495.00	99.46
crane316_11	5	7	5364841.00	98.72
crane316_11	5	8	5520495.00	100.57
crane316_11	5	9	5520495.00	99.25
crane316_11	5	10	5520495.00	98.95
crane316_11	8	1	9082991.00	413.52
crane316_11	8	2	9022806.00	417.78
crane316_11	8	3	9022806.00	420.54
crane316_11	8	4	9022806.00	415.45
crane316_11	8	5	9022806.00	418.76
crane316_11	8	6	9022806.00	415.20
crane316_11	8	7	9022806.00	418.27
crane316_11	8	8	8923644.00	449.26
crane316_11	8	9	9082991.00	417.14
crane316_11	8	10	9022806.00	420.12
crane316_12	2	1	2293098.00	39.47
crane316_12	2	2	2293098.00	39.16
crane316_12	2	3	2293098.00	39.07
crane316_12	2	4	2293098.00	38.88
crane316_12	2	5	2340006.00	39.23
crane316_12	2	6	2293098.00	38.98
crane316_12	2	7	2293098.00	38.95
crane316_12	2	8	2293098.00	39.09
crane316_12	2	9	2347498.00	39.33
crane316_12	2	10	2293098.00	38.90
crane316_12	5	1	5026487.00	110.32
crane316_12	5	2	5026487.00	111.47
crane316_12	5	3	5176505.00	109.37
crane316_12	5	4	5026487.00	110.55
crane316_12	5	5	5026487.00	110.58
crane316_12	5	6	5228132.00	110.69
crane316_12	5	7	5088500.00	111.52
crane316_12	5	8	5228132.00	110.76
crane316_12	5	9	5176505.00	109.48
crane316_12	5	10	5026487.00	109.66
crane316_12	8	1	8577205.00	439.59
crane316_12	8	2	8554986.00	430.93
crane316_12	8	3	8627807.00	426.95
crane316_12	8	4	8577205.00	435.64
crane316_12	8	5	8559395.00	431.86
crane316_12	8	6	8577205.00	442.38
crane316_12	8	7	8577205.00	438.16
crane316_12	8	8	8554986.00	431.07
crane316_12	8	9	8627807.00	423.09
crane316_12	8	10	8554986.00	427.60
crane316_13	2	1	2074339.00	37.22
crane316_13	2	2	2050349.00	37.06
crane316_13	2	3	2074339.00	37.23
crane316_13	2	4	2074339.00	36.89
crane316_13	2	5	2074339.00	36.99
crane316_13	2	6	1968133.00	37.18
crane316_13	2	7	1993696.00	37.01
crane316_13	2	8	2074339.00	37.37
crane316_13	2	9	2054810.00	37.15
crane316_13	2	10	2074339.00	37.34
crane316_13	5	1	4917560.00	107.31
crane316_13	5	2	4955522.00	107.23
crane316_13	5	3	4960032.00	107.88
crane316_13	5	4	4917560.00	108.85
crane316_13	5	5	4955522.00	107.93
crane316_13	5	6	4955522.00	108.16
crane316_13	5	7	4955522.00	107.48
crane316_13	5	8	4955522.00	107.39
crane316_13	5	9	4955522.00	107.88
crane316_13	5	10	4955522.00	107.37
crane316_13	8	1	8536714.00	425.13
crane316_13	8	2	8531537.00	438.26
crane316_13	8	3	8536714.00	425.52
crane316_13	8	4	8536714.00	428.28
crane316_13	8	5	8536714.00	424.12
crane316_13	8	6	8536714.00	423.25
crane316_13	8	7	8536714.00	424.16
crane316_13	8	8	8536714.00	428.38
crane316_13	8	9	8536714.00	424.18
crane316_13	8	10	8536714.00	427.92
crane316_14	2	1	1946687.00	41.09
crane316_14	2	2	1935176.00	40.57
crane316_14	2	3	1946687.00	40.77
crane316_14	2	4	1946687.00	40.91
crane316_14	2	5	1935176.00	40.70
crane316_14	2	6	1946687.00	40.78
crane316_14	2	7	1935176.00	41.17
crane316_14	2	8	1946687.00	40.87
crane316_14	2	9	1935176.00	40.74
crane316_14	2	10	1935176.00	40.87
crane316_14	5	1	4757231.00	116.07
crane316_14	5	2	4640497.00	115.35
crane316_14	5	3	4640497.00	115.09
crane316_14	5	4	4640497.00	115.43
crane316_14	5	5	4808235.00	112.90
crane316_14	5	6	4808235.00	113.07
crane316_14	5	7	4640497.00	114.95
crane316_14	5	8	4640497.00	115.00
crane316_14	5	9	4640497.00	115.05
crane316_14	5	10	4640497.00	114.37
crane316_14	8	1	8560438.00	396.96
crane316_14	8	2	8494008.00	440.83
crane316_14	8	3	8560438.00	398.85
crane316_14	8	4	8486916.00	402.88
crane316_14	8	5	8494008.00	437.77
crane316_14	8	6	8494008.00	437.29
crane316_14	8	7	8454255.00	402.79
crane316_14	8	8	8494008.00	445.92
crane316_14	8	9	8613405.00	419.34
crane316_14	8	10	8494008.00	434.66
crane316_15	2	1	2206265.00	32.91
crane316_15	2	2	2206265.00	33.05
crane316_15	2	3	2222010.00	32.98
crane316_15	2	4	2222210.00	32.92
crane316_15	2	5	2206265.00	32.73
crane316_15	2	6	2206265.00	32.92
crane316_15	2	7	2206265.00	32.91
crane316_15	2	8	2158462.00	33.12
crane316_15	2	9	2206265.00	33.27
crane316_15	2	10	2233282.00	32.73
crane316_15	5	1	5500247.00	102.08
crane316_15	5	2	5500247.00	101.06
crane316_15	5	3	5558848.00	101.47
crane316_15	5	4	5558848.00	101.48
crane316_15	5	5	5500247.00	101.97
crane316_15	5	6	5558848.00	102.26
crane316_15	5	7	5558848.00	101.53
crane316_15	5	8	5500247.00	102.02
crane316_15	5	9	5500247.00	101.89
crane316_15	5	10	5444930.00	101.27
crane316_15	8	1	9091495.00	468.07
crane316_15	8	2	9082075.00	511.69
crane316_15	8	3	9197263.00	539.09
crane316_15	8	4	9197351.00	487.77
crane316_15	8	5	9048395.00	535.94
crane316_15	8	6	9082075.00	509.32
crane316_15	8	7	9101908.00	474.30
crane316_15	8	8	9101908.00	469.60
crane316_15	8	9	9154960.00	540.18
crane316_15	8	10	9197351.00	492.46
crane316_16	2	1	2313747.00	39.14
crane316_16	2	2	2243626.00	38.05
crane316_16	2	3	2243626.00	38.19
crane316_16	2	4	2243626.00	38.15
crane316_16	2	5	2301951.00	38.34
crane316_16	2	6	2243626.00	38.42
crane316_16	2	7	2319460.00	39.05
crane316_16	2	8	2243626.00	37.91
crane316_16	2	9	2266920.00	39.07
crane316_16	2	10	2243626.00	38.34
crane316_16	5	1	5504113.00	123.55
crane316_16	5	2	5505599.00	123.04
crane316_16	5	3	5514794.00	124.68
crane316_16	5	4	5505599.00	123.80
crane316_16	5	5	5396881.00	123.79
crane316_16	5	6	5268755.00	123.66
crane316_16	5	7	5505599.00	123.51
crane316_16	5	8	5396428.00	125.04
crane316_16	5	9	5505599.00	122.36
crane316_16	5	10	5268755.00	124.15
crane316_16	8	1	9000940.00	521.74
crane316_16	8	2	9000940.00	520.63
crane316_16	8	3	8772123.00	537.04
crane316_16	8	4	9000940.00	521.87
crane316_16	8	5	9000940.00	525.89
crane316_16	8	6	9000940.00	521.43
crane316_16	8	7	9000940.00	526.84
crane316_16	8	8	9000940.00	523.46
crane316_16	8	9	8772123.00	537.87
crane316_16	8	10	9000940.00	528.34
crane316_17	2	1	2137892.00	39.92
crane316_17	2	2	2096417.00	39.61
crane316_17	2	3	2137892.00	39.39
crane316_17	2	4	2137892.00	40.06
crane316_17	2	5	2137892.00	39.68
crane316_17	2	6	2096417.00	39.83
crane316_17	2	7	2096417.00	39.64
crane316_17	2	8	2096417.00	39.94
crane316_17	2	9	2137892.00	39.68
crane316_17	2	10	2096417.00	39.78
crane316_17	5	1	5450221.00	104.86
crane316_17	5	2	5487161.00	105.27
crane316_17	5	3	5487161.00	104.48
crane316_17	5	4	5487161.00	105.15
crane316_17	5	5	5450221.00	105.15
