instance     g  runs  mean_solution  std_solution  best_solution  mean_time  std_time  best_time  gurobi_solution  gurobi_time  gurobi_status  gap_gurobi_percent  faster_than_gurobi  UB          gap_UB_percent
ftv35        2  10    1161.00        0.00          1161.00        0.1710     0.0088    0.1600     1161.0           0.3          OPTIMAL        0.0000              True                1161.0      0.0000
ftv35        5  10    1161.00        0.00          1161.00        0.2380     0.0103    0.2300     1161.0           0.3          OPTIMAL        0.0000              True                1165.0      -0.3433
ftv35        8  10    1189.00        0.00          1189.00        0.2250     0.0085    0.2100     1189.0           0.6          OPTIMAL        0.0000              True                1189.0      0.0000
ftv38        2  10    1185.00        0.00          1185.00        0.3130     0.0095    0.3000     1185.0           0.6          OPTIMAL        0.0000              True                1185.0      0.0000
ftv38        5  10    1194.20        12.60         1185.00        0.2270     0.0095    0.2100     1185.0           0.5          OPTIMAL        0.0000              True                1185.0      0.0000
ftv38        8  10    1239.00        0.00          1239.00        0.2900     0.0105    0.2700     1219.0           0.6          OPTIMAL        1.6407              True                1225.0      1.1429
ftv44        2  10    1274.00        0.00          1274.00        0.4110     0.0110    0.4000     1269.0           0.8          OPTIMAL        0.3940              True                1269.0      0.3940
ftv44        5  10    1270.50        2.42          1269.00        0.5270     0.0116    0.5100     1269.0           0.9          OPTIMAL        0.0000              True                1269.0      0.0000
ftv44        8  10    1365.20        10.12         1362.00        0.8150     0.0453    0.7900     1312.0           1.3          OPTIMAL        3.8110              True                1312.0      3.8110
ftv47        2  10    1419.60        3.41          1415.00        0.4650     0.0097    0.4500     1410.0           0.8          OPTIMAL        0.3546              True                1410.0      0.3546
ftv47        5  10    1424.30        3.09          1421.00        0.5820     0.0079    0.5700     1410.0           0.8          OPTIMAL        0.7801              True                1410.0      0.7801
ftv47        8  10    1471.00        2.58          1468.00        0.6400     0.0115    0.6300     1449.0           1.2          OPTIMAL        1.3112              True                1450.0      1.2414
ftv55        2  10    1581.90        7.99          1568.00        1.4810     0.0137    1.4600     1553.0           1.7          OPTIMAL        0.9659              True                1553.0      0.9659
ftv55        5  10    1574.60        7.69          1558.00        1.8050     0.0268    1.7700     1553.0           1.7          OPTIMAL        0.3220              False               1555.0      0.1929
ftv55        8  10    1570.70        4.35          1568.00        1.5140     0.0190    1.4900     1553.0           2.0          OPTIMAL        0.9659              True                1554.0      0.9009
