instance	g	UB		    LB		    best known solution
stilt100_5	8	10306629	9725945.4	10116440
stilt100_6	8	9414120		8964191.6	9296061
stilt100_7	8	10451329	10293448.6	10386931
stilt100_8	8	9737544		9268717.7	9626836
stilt100_9	8	10166167	9689784.3	10008040
stilt316_10	8	17928414	17357345.4	17463875
stilt316_11	8	19059822	18377480.4	19059822
stilt316_12	8	18612615	18073119.6	18603314
stilt316_13	8	18244999	17149970.6	18244999
stilt316_14	8	18604883	18119030.8	18265152
stilt316_15	8	19808755	19341915.5	19370972
stilt316_16	8	18183724	17165592.7	17830677
stilt316_17	8	18621782	17963353.1	18391884
stilt316_18	8	18718446	18035086.0	18718446
stilt316_19	8	18428502	24074702.5	18428502
