instance	g	run	solution	time
crane316_10	8	7	8969672.00	438.89
crane316_10	8	8	8835195.00	502.52
crane316_10	8	9	9002720.00	470.46
crane316_10	8	10	8969672.00	446.64
crane316_11	2	1	2123743.00	30.89
crane316_11	2	2	2123743.00	30.93
crane316_11	2	3	2123743.00	30.70
crane316_11	2	4	2215721.00	30.15
crane316_11	2	5	2123743.00	31.08
crane316_11	2	6	2123743.00	31.11
crane316_11	2	7	2215721.00	30.15
crane316_11	2	8	2123743.00	30.75
crane316_11	2	9	2123743.00	30.93
crane316_11	2	10	2123743.00	30.73
crane316_11	5	1	5437277.00	91.12
crane316_11	5	2	5437277.00	92.39
crane316_11	5	3	5449036.00	91.14
crane316_11	5	4	5449036.00	90.59
crane316_11	5	5	5449036.00	91.78
crane316_11	5	6	5437277.00	91.36
crane316_11	5	7	5435303.00	90.99
crane316_11	5	8	5449036.00	92.85
crane316_11	5	9	5449036.00	91.79
crane316_11	5	10	5522314.00	92.23
crane316_11	8	1	8873169.00	420.45
crane316_11	8	2	8988757.00	434.16
crane316_11	8	3	8873169.00	419.40
crane316_11	8	4	8988757.00	434.73
crane316_11	8	5	8873169.00	419.71
crane316_11	8	6	8873169.00	419.56
crane316_11	8	7	8988757.00	435.65
crane316_11	8	8	8988757.00	435.19
crane316_11	8	9	8988757.00	432.60
crane316_11	8	10	8873169.00	419.32
crane316_12	2	1	2241885.00	33.34
crane316_12	2	2	2235248.00	33.51
crane316_12	2	3	2254509.00	32.93
crane316_12	2	4	2254509.00	33.27
crane316_12	2	5	2241885.00	33.48
crane316_12	2	6	2169116.00	33.30
crane316_12	2	7	2254509.00	33.60
crane316_12	2	8	2202120.00	33.16
crane316_12	2	9	2241885.00	33.59
crane316_12	2	10	2254509.00	33.28
crane316_12	5	1	5139844.00	109.20
crane316_12	5	2	5139844.00	107.73
crane316_12	5	3	5139844.00	108.33
crane316_12	5	4	5139844.00	108.14
crane316_12	5	5	5139844.00	107.69
crane316_12	5	6	5197040.00	107.50
crane316_12	5	7	5197040.00	107.17
crane316_12	5	8	5170469.00	108.52
crane316_12	5	9	5139844.00	109.66
crane316_12	5	10	5139844.00	109.63
crane316_12	8	1	8621458.00	406.92
crane316_12	8	2	8621458.00	406.52
crane316_12	8	3	8621458.00	405.12
