instance	g	runs	mean_solution	std_solution	best_solution	mean_time	std_time	best_time	gurobi_solution	gurobi_time	gurobi_status	gap_gurobi_percent	faster_than_gurobi	UB	gap_UB_percent
crane66_0	2	10	1346799.00	0.00	1346799.00	1.2660	0.0919	1.1900	1252494.0	38.1	OPTIMAL	7.5294	True	1256251.0	7.2078
crane66_0	5	10	2740549.00	0.00	2740549.00	3.4750	0.0334	3.4100	2617682.0	9.8	OPTIMAL	4.6937	True	2617682.0	4.6937
crane66_0	8	10	4386222.40	286.50	4385407.00	6.9610	0.0737	6.8200	4174127.0	5.1	OPTIMAL	5.0812	False	4194580.0	4.5688
crane66_1	2	10	983105.00	0.00	983105.00	1.8090	0.0145	1.7900	961865.0	4.1	OPTIMAL	2.2082	True	961865.0	2.2082
crane66_1	5	10	2354836.00	0.00	2354836.00	2.3710	0.0247	2.3400	2277182.0	10.6	OPTIMAL	3.4101	True	2311795.0	1.8618
crane66_1	8	10	4170420.00	46793.38	4116051.00	5.0060	0.1191	4.8300	3979379.0	10.8	OPTIMAL	4.8008	True	4010020.0	4.0000
crane66_2	2	10	1192160.00	0.00	1192160.00	1.4630	0.0149	1.4400	1182704.0	10.9	OPTIMAL	0.7995	True	1182704.0	0.7995
crane66_2	5	10	2715069.80	4265.28	2713721.00	2.9400	0.0183	2.9100	2565899.0	12.1	OPTIMAL	5.8136	True	2568208.0	5.7185
crane66_2	8	10	4346896.00	0.00	4346896.00	5.9380	0.1194	5.7800	4124869.0	10.2	OPTIMAL	5.3826	True	4183029.0	3.9174
dc112	2	10	3993.00	0.00	3993.00	17.7060	0.1973	17.3700	3993.0	2.4	OPTIMAL	0.0000	False	3993.0	0.0000
dc112	5	10	4242.00	0.00	4242.00	27.1120	0.6346	26.4100	4242.0	16.5	OPTIMAL	0.0000	False	4242.0	0.0000
dc112	8	10	6575.00	0.00	6575.00	48.2040	0.6683	47.3500	6501.0	95.0	OPTIMAL	1.1383	True	6501.0	1.1383
dc126	2	10	6204.00	0.00	6204.00	10.1910	0.3266	9.4700	6204.0	1.1	OPTIMAL	0.0000	False	6281.0	-1.2259
dc126	5	10	14626.00	94.87	14356.00	17.8790	0.6927	16.9100	12596.0	33.6	OPTIMAL	16.1162	True	12752.0	14.6957
dc126	8	10	58439.00	215.03	58337.00	107.6570	24.7839	60.6600	50598.0	231.9	OPTIMAL	15.4967	True	51239.0	14.0518
dc134	2	10	3743.00	0.00	3743.00	66.5980	1.0506	65.1900	3743.0	12.5	OPTIMAL	0.0000	False	3743.0	0.0000
dc134	5	10	3743.00	0.00	3743.00	55.1080	0.6899	54.5400	3743.0	11.4	OPTIMAL	0.0000	False	3743.0	0.0000
dc134	8	10	3807.00	0.00	3807.00	63.3350	0.6969	62.4400	3807.0	20.8	OPTIMAL	0.0000	False	3821.0	-0.3664
dc176	2	10	5496.00	0.00	5496.00	180.1960	1.3003	178.6500	5495.0	115.0	OPTIMAL	0.0182	False	5561.0	-1.1689
dc176	5	10	5495.00	0.00	5495.00	173.8320	0.5533	173.0500	5495.0	111.6	OPTIMAL	0.0000	False	5561.0	-1.1868
dc176	8	10	5625.00	0.00	5625.00	293.8600	1.3341	291.2500	5625.0	71.6	OPTIMAL	0.0000	False	5715.0	-1.5748
dc188	2	10	4562.00	0.00	4562.00	320.7200	3.0431	319.1500	4562.0	51.0	OPTIMAL	0.0000	False	4599.0	-0.8045
dc188	5	10	4562.00	0.00	4562.00	269.7010	2.3707	265.5000	4562.0	36.3	OPTIMAL	0.0000	False	4599.0	-0.8045
dc188	8	10	4608.00	0.00	4608.00	356.8680	3.3040	352.9900	4608.0	90.8	OPTIMAL	0.0000	False	4653.0	-0.9671
ft53	2	10	3009.00	0.00	3009.00	0.7030	0.0883	0.5800	2990.0	1.8	OPTIMAL	0.6355	True	3026.0	-0.5618
ft53	5	10	3733.00	0.00	3733.00	1.3970	0.0216	1.3600	3667.0	2.8	OPTIMAL	1.7998	True	3721.0	0.3225
ft53	8	10	4936.00	0.00	4936.00	3.6440	0.0392	3.6000	4898.0	2.9	OPTIMAL	0.7758	False	4959.0	-0.4638
ft70	2	10	8166.40	11.38	8161.00	0.9520	0.0114	0.9300	8161.0	2.1	OPTIMAL	0.0662	True	15909.0	-48.6680
ft70	5	10	16335.50	189.21	16156.00	3.0750	0.0510	3.0300	15699.0	5.9	OPTIMAL	4.0544	True	25609.0	-36.2119
