instance	g	solution	time	status
stilt100_6	5	5412361.0	32.1	OPTIMAL
stilt100_6	8	9296061.0	29.6	OPTIMAL
stilt100_7	2	3088358.0	3374.5	OPTIMAL
stilt100_7	5	5904767.0	176.8	OPTIMAL
stilt100_7	8	10386931.0	196.4	OPTIMAL
stilt100_8	2	2752703.0	1577.2	OPTIMAL
stilt100_8	5	5649254.0	41.1	OPTIMAL
stilt100_8	8	9626836.0	25.0	OPTIMAL
stilt100_9	2	2505204.0	78.4	OPTIMAL
stilt100_9	5	5933627.0	2204.8	OPTIMAL
stilt100_9	8	10008040.0	34.0	OPTIMAL
stilt316_10	2	4181041.0	3600.1	TIME_LIMIT
stilt316_10	5	9489595.0	3600.2	TIME_LIMIT
stilt316_10	8	16947870.9	3600.1	TIME_LIMIT
stilt316_11	2	3980542.0	3600.1	TIME_LIMIT
stilt316_11	5	10183413.0	3600.1	TIME_LIMIT
stilt316_11	8	17335188.0	3600.1	TIME_LIMIT
stilt316_12	2	4017569.0	3600.1	TIME_LIMIT
stilt316_12	5	10037273.0	3600.1	TIME_LIMIT
stilt316_12	8	16902615.0	3600.2	TIME_LIMIT
stilt316_13	2	4448687.0	3600.1	TIME_LIMIT
stilt316_13	5	9708041.0	3600.0	TIME_LIMIT
stilt316_13	8	17686421.0	3600.1	TIME_LIMIT
stilt316_14	2	3768192.0	3600.0	TIME_LIMIT
stilt316_14	5	9732029.0	3600.1	TIME_LIMIT
stilt316_14	8	17316059.0	3600.1	TIME_LIMIT
stilt316_15	2	4297527.0	3600.1	TIME_LIMIT
stilt316_15	5	9517006.0	2733.3	OPTIMAL
stilt316_15	8	18148773.0	3600.1	TIME_LIMIT
stilt316_16	2	3846876.0	3600.0	TIME_LIMIT
stilt316_16	5	9943708.0	3600.3	TIME_LIMIT
stilt316_16	8	17507711.0	3600.1	TIME_LIMIT
stilt316_17	2	4246937.4	3600.0	TIME_LIMIT
stilt316_17	5	10496282.0	3600.1	TIME_LIMIT
stilt316_17	8	17775283.0	3600.3	TIME_LIMIT
stilt316_18	2	3886928.0	3600.0	TIME_LIMIT
stilt316_18	5	9495934.0	3600.0	TIME_LIMIT
stilt316_18	8	17369319.0	3600.6	TIME_LIMIT
stilt316_19	2	4126067.0	3600.1	TIME_LIMIT
stilt316_19	5	9893777.0	3601.2	TIME_LIMIT
stilt316_19	8	16883734.0	3600.1	TIME_LIMIT
td100_1	2	36509.0	14.2	OPTIMAL
td100_1	5	85987.0	3.9	OPTIMAL
td100_1	8	157727.0	2.1	OPTIMAL
td316_10	2	76557.0	25.6	OPTIMAL
td316_10	5	201467.0	16.5	OPTIMAL
td316_10	8	387301.0	35.8	OPTIMAL
